url,movie_name,actor_name,hindi_diag,english_diag,cat
http://www.filmyquotes.com/movies/1610, A Flying Jatt,Amrita Singh,Har yug mein paap ka anth karne ke liye ... eeshwar khud kisi roop mein dharti par aate hai,"In every era, to put an end to the sins ... god himself comes down to earth in some guise or the other",Religion & God
http://www.filmyquotes.com/movies/1610, A Flying Jatt,Tiger Shroff,You're not one in a million ... you are the one,You're not one in a million ... you are the one,Romance
http://www.filmyquotes.com/movies/1610, A Flying Jatt,Category: ,Agar hamare andar vishvas hai ki hum sahi hai ... toh hamare andar taqat apne aap aa jaati hai,If we have the belief within us that we are right ... then the strength comes to us automatically,
http://www.filmyquotes.com/movies/1610, A Flying Jatt,Category: ,Super powers ke saath toh koi bhi ladai kar sakta hai ... par asli super hero woh hai joh bina powers ke achai ke liye lade,Anyone can fight with super powers ... but a real super hero is the one who fights for goodness without powers,
http://www.filmyquotes.com/movies/1610, A Flying Jatt,Kay Kay Menon,Mere jeb se jab hazar rupai ka note neeche girta hai ... toh main usse uthata nahi hoon ... jaante ho kyun? ... kyun ki us note ko zameen se uthakar mere jeb mein rakhne mein jitna time jaata hai ... utne mein main lakhon ke deals kar leta hoon ... time is precious,When a Rs. 1000 note falls from my pocket ... then I don't pick it up ... you know why? ... because the amount of time that it takes to pick up that note from the ground and to put it in my pocket ... in that much time I make deals worth millions ... time is precious,"Time,Money"
http://www.filmyquotes.com/movies/1610, A Flying Jatt,Amrita Singh,Ek Sikh savah lakh ke barabar hota hai,A Sikh person is equal to more than a lakh people,Religion & God
http://www.filmyquotes.com/movies/1626, Ae Dil Hai Mushkil,Ranbir Kapoor,Ek tarfa pyar ki taqat hi kuch aur hoti hai ... auron ke rishton ki tarah yeh do logon mein nahi bat'ti ... sirf mera haq hai ispe,"The power of one sided love is unique ... it doesn't get distributed into two, as it happens in the relationships of others ... only my right is there on it",Romance
http://www.filmyquotes.com/movies/1626, Ae Dil Hai Mushkil,Ranbir Kapoor,Mohabbat karna hamare bas mein nahi hai ... us mohabbat se door chale jaana ... woh hamare bas mein hai,It's not within our control to fall in love ... but to go far away from that love ... is within our control,Romance
http://www.filmyquotes.com/movies/1553, Airlift,Akshay Kumar,Saath hai toh kuch hai ... varna nothing,We are something if we are together ... or else we are nothing,Inspiration
http://www.filmyquotes.com/movies/1553, Airlift,Akshay Kumar,Aadmi ki fitrat hi aaisi hai ... chhot lagti hai na toh aadmi maa maa hi chilata hai sabse pehle,It's in the nature of humans ... that when they get hurt then they first call out for their mother,Parents
http://www.filmyquotes.com/movies/1553, Airlift,Category: ,Galati pe tokna bahut aasaan hai ... par galati karne ki himmat rakhna bahut mushkil,It's very easy to taunt on a mistake ... but it's very hard to have the courage of committing a mistake,
http://www.filmyquotes.com/movies/1627, Akira,Sonakshi Sinha,Apahij woh nahi jiska koi ang na ho ... apahij woh hai joh apne ang ka istamaal na kare ... doosron ki madad na karne wale haath apahij hai ... zulm ko dekhkar mudne wali aankh apahij hai ... maa baap ko chhodkar bhaagne wale paanv apahij hai,Someone who doesn't have a body part is not a handicap person ... instead a person who doesn't use his body part is a handicap person ... the hands that don't help others are handicap ... the eyes that look at injustice and turn away are handicap ... the legs that leave their parents behind are handicap,Inspiration
http://www.filmyquotes.com/movies/1627, Akira,Anurag Kashyap,Laxmi samne se darshan dene ko tayaar hai ... aur aap joh hai line mein khade rehna chahte hai,The goddess of wealth is herself ready to come in front of you ... and you want to stand in a line to see her,"Money,Religion & God,Comedy"
http://www.filmyquotes.com/movies/1583, Azhar,Emraan Hashmi,Sau sahi kaam karlo koi yaad nahi rakhta ... ek galat ilzaam aur sabne bhula diya,No one remembers you when you do a hundred good things ... but with one wrong allegation everyone forgets you,Drama
http://www.filmyquotes.com/movies/1583, Azhar,Emraan Hashmi,Jinke paas dost kam hote hai na ... woh amir nahi hote,Those who have only a few friends ... they are not rich,Friendship
http://www.filmyquotes.com/movies/1583, Azhar,Prachi Desai,Tumhare aage badne ki duayein maine maangi ... aaj mujhe hi peeche chhod diya,I prayed for you to move ahead ... and today you've left me behind,Drama
http://www.filmyquotes.com/movies/1583, Azhar,Kulbhushan Kharbanda,Tu mooh se bolega toh kuch hi logan sunenge ... balla bolega toh sari duniya ko sunna padega,If you say it from your mouth then only a few people will listen ... but if your bat does the talking then the whole world will have to listen to it,Sports & Games
http://www.filmyquotes.com/movies/1583, Azhar,Emraan Hashmi,Ab farak nahi padta ... kyun ki jab farak nahi padta zindagi mein ... farak tabhi aata hai,Now I don't care ... because when you don't care in life ... only then a change comes along,"Inspiration,Life"
http://www.filmyquotes.com/movies/1583, Azhar,Prachi Desai,Rishtey tootne se khatam nahi ho jaate,Relationships don't end when they break,Drama
http://www.filmyquotes.com/movies/1583, Azhar,Emraan Hashmi,"Sikka dono ka hota hai, heads ka bhi aur tails ka bhi ... par waqt sirf uska aata hai joh palatkar upar aata hai","A coin belongs to both, heads and tails ... but time only stays on the side of the one who turns around and rises","Time,Inspiration"
http://www.filmyquotes.com/movies/1583, Azhar,Kulbhushan Kharbanda,"Mauka intezar nahi karta ... joh mauke par hota hai, mauka usich ko milta hai","Opportunity doesn't wait ... the one who is present when the opportunity arises, is the one who gets the opportunity",Inspiration
http://www.filmyquotes.com/movies/1583, Azhar,Emraan Hashmi,Upar waala bhi full maaze leta hai ... joh chahiye aasaani se deta nahi ... aur jisse door bhaago usse har modh pe aage khada kar deta hai,"God also enjoys totally ... he doesn't give you easily whatever you want ... and the thing that you run away from, he brings that in front of you at every turn",Religion & God
